sample_size,run,ari,nmi,silhouette,num_clusters,time_sec
10000,0,0.8978798283439371,0.7973890253246704,0.37875781871280395,14,5.172677755355835
10000,1,0.927345261068579,0.8501254675278198,0.5140072244242885,10,5.309818267822266
10000,2,0.9202556087027208,0.8305765284819517,0.490255758372308,10,5.452117919921875
10000,3,0.8369467333894363,0.7843640536324001,0.30434535159022386,14,5.115082740783691
10000,4,0.9334711225775824,0.8479675155982641,0.4862198514282466,11,4.912504196166992
20000,0,0.8910870325258275,0.811033111159015,0.42138778892652345,13,19.46530270576477
20000,1,0.9266006382925795,0.853597921381962,0.5131671375182847,11,20.837412357330322
20000,2,0.932143341176863,0.8406062288818672,0.5079869993586273,10,19.990266799926758
20000,3,0.925610308981812,0.8416706095639448,0.46194918150853426,12,18.730812311172485
20000,4,0.9272435825613614,0.8432731757176083,0.48239283175061226,12,19.19220519065857
40000,0,0.8862890076876904,0.8065579360348638,0.41275045832160956,14,78.5941436290741
40000,1,0.9280053160502927,0.8545502291473683,0.5102772585225596,11,83.8774766921997
40000,2,0.93608721959061,0.8496577517724574,0.5148856029938029,13,84.55173945426941
40000,3,0.8678096542725657,0.7945899424185128,0.3231973096813514,16,86.64045095443726
40000,4,0.9203024332283951,0.8330544394172454,0.4660304288688054,13,79.53782081604004
60000,0,0.7721613148873133,0.7611930347522964,0.27545011362583344,18,221.6543869972229
60000,1,0.9272311903102917,0.8363430516592663,0.4833482666797099,13,249.4444715976715
60000,2,0.9253296781509344,0.8471367936220241,0.4964194961778826,14,272.0772340297699
60000,3,0.8851836646636234,0.7987268931056938,0.4093456217455215,16,219.22405552864075
60000,4,0.8918827642550309,0.8193202327506948,0.43624166154792593,16,227.3506898880005
80000,0,0.7499795846751248,0.7556654054067964,0.2865586048985249,18,437.95492672920227
80000,1,0.9118988558028581,0.810032131026708,0.3816021318606038,16,438.09192872047424
80000,2,0.9330963707292698,0.852466474638251,0.5110825203898715,14,452.20833230018616
80000,3,0.7578807564353781,0.7469221423359529,0.28107930037422124,19,510.95643186569214
80000,4,0.9236490701893665,0.838131789845317,0.4521018033934587,16,413.69289803504944
