sample_size,run,ari,nmi,silhouette,num_clusters,time_sec
10000,0,0.8846812834311221,0.7731112425965211,0.47927198822366435,4,4.13403582572937
10000,1,0.943471956256941,0.8356998219083912,0.5392374314307492,4,3.6980412006378174
10000,2,0.9425301175978674,0.8391496975080297,0.5129213343263817,4,5.042314767837524
10000,3,0.4461363236760495,0.6223360704387221,0.2544885588468805,4,3.573227882385254
10000,4,0.8440254982723786,0.7196435666359225,0.5079093977828456,4,4.072833776473999
20000,0,0.8895033819904026,0.7737945028656978,0.47749718431183946,4,6.166882753372192
20000,1,0.44562952530002753,0.6289402328834512,0.26522113904501937,4,5.335939407348633
20000,2,0.8728733200278878,0.7501033701330713,0.5500654326619873,4,7.407973289489746
20000,3,0.9051295105983502,0.8071610047693489,0.484543085473225,4,5.6607537269592285
20000,4,0.8837751359986286,0.7767883548144965,0.48546026369946993,4,6.043124675750732
40000,0,0.8890666503142525,0.7736997614548543,0.4764149715726652,4,18.979372262954712
40000,1,0.4451951378352009,0.6278229636336268,0.2684600761876286,4,15.017194032669067
40000,2,0.44704805612260895,0.627765416516535,0.2652059108777276,4,15.380824089050293
40000,3,0.42585566651775375,0.5891780599000414,0.2153203085702796,4,19.82648015022278
40000,4,0.4463596996913688,0.6168042757965677,0.25633144245676276,4,15.373132705688477
60000,0,0.88428506152319,0.7728828524776027,0.4753305586430378,4,37.5220890045166
60000,1,0.4455797947332475,0.6261842797370142,0.26071427522105034,4,29.76516604423523
60000,2,0.4460172746427085,0.6291530039334339,0.2673784954696374,4,36.80363440513611
60000,3,0.8908786125703672,0.7771513985930744,0.4834203461812574,4,31.63684916496277
60000,4,0.8796399316358928,0.7785319610906146,0.47857889973756657,4,35.30863857269287
80000,0,0.8800977394774504,0.772542462126772,0.4697340122819198,4,68.81488680839539
80000,1,0.5405498917449404,0.6340185961477198,0.2985581707477886,4,60.42333173751831
80000,2,0.44662016512540526,0.628545583710577,0.2668856010070777,4,54.91606569290161
