sample_size,run,ari,nmi,silhouette,num_clusters,time_sec
10000,0,0.7572755968544495,0.6470317928835138,0.3606301622025051,5,4.2313454151153564
10000,1,0.91152290599745,0.7967049654024824,0.49144222084470496,6,2.7373898029327393
10000,2,0.8396678493031452,0.7459628609725206,0.43152129775744413,6,3.116572856903076
10000,3,0.8909539038418897,0.7853394953766077,0.4343668459485243,7,3.0953338146209717
10000,4,0.9072746263076308,0.7980625693255767,0.45471198418223957,8,2.885596990585327
20000,0,0.852817120980602,0.7190548259538634,0.3457896147578608,8,9.016467332839966
20000,1,0.8818686465976667,0.7649585564181904,0.5057750959430035,6,6.043964385986328
20000,2,0.9122344721711333,0.8195762834080143,0.49179974443211083,7,7.054298639297485
20000,3,0.8633417038604531,0.7679324654515917,0.4535659323101118,7,6.273852109909058
20000,4,0.9212144688508644,0.8217528501428245,0.47499589136657067,8,6.875482559204102
40000,0,0.8963644676730967,0.7775719644430071,0.41425497745040074,7,23.607760667800903
40000,1,0.8763582982109355,0.7750544755885027,0.49741610463634023,7,19.929239988327026
40000,2,0.8822106111905668,0.7761937169913304,0.5140747648720346,6,18.980934619903564
40000,3,0.8571592486243842,0.7781507764559333,0.4264852930409755,7,22.660787105560303
40000,4,0.8067803920688194,0.733171858880644,0.43469916751988574,6,19.172616243362427
60000,0,0.8609067202851152,0.7198387192958278,0.39366617278535826,6,48.05650234222412
60000,1,0.8155890481629113,0.7219679597814619,0.46039941146900315,6,37.324501037597656
60000,2,0.8606323381239595,0.735369966776664,0.47814043498568154,7,41.07684063911438
60000,3,0.728174771836641,0.6573277505966599,0.40140777451922416,5,41.547168254852295
60000,4,0.2447589562366185,0.3223360134985882,0.29710748054142366,4,45.49655103683472
80000,0,0.7064014680043518,0.631390065608132,0.35936986675206417,5,69.77216982841492
80000,1,0.28647518921167336,0.3732891761251659,0.2073626506001543,6,78.94048380851746
80000,2,0.7887566143351608,0.6392197389890049,0.397428020896508,7,61.68434977531433
80000,3,0.2738994910721608,0.34299031362996607,0.23352145337139527,4,80.8202121257782
80000,4,0.23638546611088998,0.3222786916426672,0.29798048336136623,4,76.73460507392883
