sample_size,run,ari,nmi,silhouette,num_clusters,time_sec
10000,0,0.4788949827047721,0.6603906875307063,0.23628340220529398,6,3.6197562217712402
10000,1,0.49121165211847045,0.6955473784209232,0.26692581861261544,6,3.622504234313965
10000,2,0.36597917346342973,0.6534160558378298,0.25171373402200964,6,3.6675400733947754
10000,3,0.5020045694604105,0.6996623238700302,0.2715781183140271,6,3.5788991451263428
10000,4,0.5159995998364738,0.7014798392393736,0.2552147948023209,6,3.6084158420562744
20000,0,0.48752561495880004,0.6777651752337275,0.2358648204645613,6,5.91422700881958
20000,1,0.4529675969590236,0.660929015261612,0.2764744615936213,6,6.332362413406372
20000,2,0.3549149231059964,0.5871570188069157,0.27566600252346624,6,6.584803581237793
20000,3,0.5182102920944892,0.6970466139805428,0.21153043097487434,6,6.0902626514434814
20000,4,0.48052710863106063,0.6694465857338746,0.2711846852100053,6,5.797211408615112
40000,0,0.9419741934902931,0.8539379565495548,0.4719537638344742,6,17.014574766159058
40000,1,0.45531586228831705,0.6639765607467518,0.27860694655511403,6,16.390491008758545
40000,2,0.4929847813506911,0.6975217578041689,0.26633446170362457,6,16.630178689956665
40000,3,0.5345516520355007,0.7370203031374302,0.2421235704062783,6,15.081578493118286
40000,4,0.4872336324096893,0.6751380760407562,0.2711430876040349,6,16.781405210494995
60000,0,0.5379547207832587,0.7370221182916108,0.23939412397627166,6,36.24538612365723
60000,1,0.3982223151838599,0.5973381365287546,0.27106210125107716,6,33.70719265937805
60000,2,0.45700318801748635,0.6661591331634229,0.27916286529626705,6,32.90074038505554
60000,3,0.48100294985137854,0.6610746448643631,0.23852470168769674,6,31.817221641540527
60000,4,0.4881486720486133,0.6764258510967923,0.27096277083392234,6,33.63253426551819
80000,0,0.5401993755251855,0.7380364789606936,0.23674809299916896,6,56.60359001159668
80000,1,0.6025457380182486,0.6990395069297565,0.26019455301031913,6,64.90846085548401
80000,2,0.4914787269479649,0.6981993716498472,0.26851124993184533,6,50.323694705963135
80000,3,0.9434054668720043,0.8618456248725211,0.48866408705860287,6,69.41416716575623
80000,4,0.5022786622309505,0.7059472815748566,0.27889404583454797,6,56.568583488464355
