sample_size,run,ari,nmi,silhouette,num_clusters,time_sec
10000,0,0.5372005382915392,0.7332135048118947,0.24186470504443586,9,180.60534191131592
10000,1,0.5081178627755624,0.7441170713660167,0.27610161234903746,8,181.29562187194824
10000,2,0.36994327727504484,0.6748070701559049,0.27655324929214903,9,162.97650003433228
10000,3,0.5641251184528416,0.7784725223166991,0.2902920892521005,8,170.1763050556183
10000,4,0.5535668866309464,0.7715473525095273,0.29176025294749164,8,148.237699508667
20000,0,0.5359509549418413,0.7432290138435997,0.2347980212803864,12,347.6955382823944
20000,1,0.5036312344892923,0.7334787076834096,0.26150865519826666,10,342.5741820335388
20000,2,0.42862602549061685,0.7029618223803575,0.2696035775233112,12,359.60625529289246
20000,3,0.5592669599213221,0.7586665574372591,0.2690351451354941,11,364.7429404258728
20000,4,0.5302308697154099,0.7370470954919635,0.2677343169617408,12,342.2494297027588
40000,0,0.5145622565729989,0.7299473967712458,0.2212323176870382,16,756.6357443332672
40000,1,0.5117043743036596,0.7453258271203844,0.25792504627434326,13,701.310426235199
40000,2,0.4662287577074486,0.721754107092861,0.2639484491780563,15,681.0713868141174
40000,3,0.5163501595184434,0.7318029855206436,0.22239781952128315,17,744.9669160842896
40000,4,0.5312140970183319,0.7443369709338018,0.25057498881696444,16,654.1716501712799
60000,0,0.5195597635080118,0.7327337393849963,0.21987064541136983,17,1271.308302640915
60000,1,0.4776074645125974,0.7172212924161332,0.24064972191922587,16,1321.4312002658844
60000,2,0.47708802749399604,0.7248772143459196,0.26282228700225396,15,1295.4136123657227
60000,3,0.5117324475830073,0.7279324789580452,0.22297149970403232,17,1178.3598799705505
60000,4,0.5306402341541457,0.7415288688267792,0.23508855402157403,18,1127.237096786499
80000,0,0.4980823524279888,0.7186221869890373,0.2098693841463242,20,1443.536147594452
80000,1,0.3338380067158063,0.6504814356378373,0.22529412516480038,19,1585.4964816570282
80000,2,0.4826997576088885,0.7291892744137076,0.260848763344306,17,1636.4491908550262
80000,3,0.5126798561832777,0.7274561761784272,0.21823101025476754,18,1486.015157699585
80000,4,0.5268957677964315,0.7395894789372364,0.2375380201534853,19,1722.2464470863342
