sample_size,run,ari,nmi,silhouette,num_clusters,time_sec
10000,0,0.6952902229813832,0.6878809081696026,0.3883491268324753,3,0.9980037212371826
10000,1,0.8905204908170083,0.7580834934439149,0.551166766358544,3,42.19091844558716
10000,2,0.680492794167544,0.6860479526337339,0.43653810366177614,3,1.0088696479797363
10000,3,0.829163238146037,0.7168097819768064,0.49505894761792807,3,0.9449989795684814
10000,4,0.8430367239050061,0.714708184641179,0.5083333266249265,3,0.9346566200256348
20000,0,0.8212307231082195,0.684752714260718,0.48579903484348813,3,3.209197998046875
20000,1,0.8894860790406591,0.7564143577521407,0.5490910675164044,3,3.1837821006774902
20000,2,0.8895251248894825,0.760109174530575,0.5417482753087423,3,3.354451894760132
20000,3,0.8224954098916274,0.7150040167332209,0.49471553233719096,3,5.094986438751221
20000,4,0.8429082725968606,0.7147409227047585,0.5082372367468903,3,5.067687273025513
40000,0,0.8195482118061801,0.6841171621349154,0.4835417035807792,3,16.039955377578735
40000,1,0.7283584359026193,0.6941142706014144,0.44987943931405133,3,16.632965326309204
40000,2,0.8882248306759254,0.7564529346576235,0.5495669706809173,3,16.232526302337646
40000,3,0.8272133360645497,0.6902834292393939,0.493480344369257,3,15.59555435180664
40000,4,0.8415366797865322,0.7159313642469832,0.5057260743201865,3,11.802308797836304
60000,0,0.8290309716548102,0.6900277804425271,0.48119683107673167,3,27.608636617660522
60000,1,0.875013342921323,0.7486862593786073,0.5368706620912683,3,70.00520133972168
60000,2,0.890186995315807,0.7587136567724772,0.5518588809214757,3,27.006244897842407
60000,3,0.8252320346083876,0.6881650298604501,0.49074523241388585,3,26.576354265213013
60000,4,0.8378121640441368,0.7160954345236769,0.5029493087086302,3,27.300061225891113
80000,0,0.8269180360601186,0.6924384129278124,0.47631662769434463,3,47.9509117603302
80000,1,0.8614198139846933,0.72966742231445,0.4963136140665754,3,49.56824517250061
80000,2,0.8908959961977991,0.7590643437998852,0.5516752668486555,3,49.630093812942505
80000,3,0.8232508143038341,0.6871879176861755,0.488299667854115,3,49.12619638442993
80000,4,0.8335246660041862,0.7160928844507087,0.5007115175916195,3,48.55750513076782
